------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
Generated with AeroElasticSE FAST driver
======  Blade Properties =================================================================
21          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
 0.0000000000000000000	0.0000000000000000000  0.0000000000000000000  0.0000000000000000000  88.280000000000000000  3.0000000000000000000	 1
 1.0710000000000000000	0.0000000000000000000  0.0000000000000000000  0.0000000000000000000  79.170000000000000000  3.0000000000000000000	 2
 3.1870000000000000000	0.0000000000000000000  0.0000000000000000000  0.0000000000000000000  62.990000000000000000  3.0000000000000000000	 3
 4.7410000000000000000	0.0000000000000000000  0.0000000000000000000  0.0000000000000000000  35.170000000000000000  5.5000000000000000000	 4
 6.2950000000000000000	0.0000000000000000000  0.0000000000000000000  0.0000000000000000000  29.260000000000000000  5.4244200000000000000	 5
10.3200000000000000000	0.0000000000000000000  0.0000000000000000000  0.0000000000000000000  18.830000000000000000  5.2287200000000000000	 6
15.1620000000000000000	0.0000000000000000000  0.0000000000000000000  0.0000000000000000000  13.560000000000000000  4.9932900000000000000	 7
20.7010000000000000000	0.0000000000000000000  0.0000000000000000000  0.0000000000000000000   9.130000000000000000  4.7239200000000000000	 8
26.8020000000000000000	0.0000000000000000000  0.0000000000000000000  0.0000000000000000000   5.750000000000000000  4.4272600000000000000	 9
33.3140000000000000000	0.0000000000000000000  0.0000000000000000000  0.0000000000000000000   5.870000000000000000  4.1106000000000000000	10
40.0760000000000000000	0.0000000000000000000  0.0000000000000000000  0.0000000000000000000   4.150000000000000000  3.7817500000000000000	11
46.9240000000000000000	0.0000000000000000000  0.0000000000000000000  0.0000000000000000000   2.890000000000000000  3.4488000000000000000	12
53.6860000000000000000	0.0000000000000000000  0.0000000000000000000  0.0000000000000000000   3.440000000000000000  3.1199500000000000000	13
60.1980000000000000000	0.0000000000000000000  0.0000000000000000000  0.0000000000000000000   2.720000000000000000  2.8032900000000000000	14
66.2990000000000000000	0.0000000000000000000  0.0000000000000000000  0.0000000000000000000   0.670000000000000000  2.5066300000000000000	15
71.8380000000000000000	0.0000000000000000000  0.0000000000000000000  0.0000000000000000000   0.250000000000000000  2.2372700000000000000	16
76.6800000000000000000	0.0000000000000000000  0.0000000000000000000  0.0000000000000000000  -0.070000000000000000  2.0018300000000000000	17  
80.7050000000000000000	0.0000000000000000000  0.0000000000000000000  0.0000000000000000000  -0.310000000000000000  1.8061300000000000000	18
83.8130000000000000000	0.0000000000000000000  0.0000000000000000000  0.0000000000000000000  -0.480000000000000000  1.6549700000000000000	19
85.9290000000000000000	0.0000000000000000000  0.0000000000000000000  0.0000000000000000000  -0.590000000000000000  1.5520900000000000000	20
87.0000000000000000000	0.0000000000000000000  0.0000000000000000000  0.0000000000000000000  -0.640000000000000000  1.5000000000000000000	21


